,Unnamed: 0,word,word_occurrences,freqs
200,200,goels,0,0.0
201,201,khazi,750,7.155834405298e-07
202,202,belit,7024,6.701677448375087e-06
203,203,smolt,13410,1.2794631916672824e-05
204,204,morin,221347,0.00021118966374793284
205,205,ofays,2961,2.8251234232116505e-06
206,206,sural,63011,6.0119504228297636e-05
207,207,janny,12266,1.1703128642051368e-05
208,208,short,66237236,0.06319769230408577
209,209,swish,192388,0.00018355955594219622
210,210,haets,0,0.0
211,211,owned,11699320,0.011162452876612132
212,212,musky,103363,9.861980155130895e-05
213,213,gimps,4019,3.834573129985688e-06
214,214,nodes,4019470,0.003835021562275087
215,215,lefty,209315,0.00019970979713932678
216,216,furca,22807,2.1760415370884198e-05
217,217,exome,0,0.0
218,218,dribs,9182,8.760649534592832e-06
219,219,gouks,108,1.030440154362912e-07
220,220,smews,867,8.272144572524488e-07
221,221,munts,2729,2.603769612274432e-06
222,222,chiro,12687,1.2104809480002097e-05
223,223,learn,30217640,0.028830990394521205
224,224,mocus,756,7.213081080540383e-07
225,225,slime,549188,0.000523986451383573
226,226,mokis,2062,1.96737740582993e-06
227,227,nevis,183290,0.00017487905175294271
228,228,arcus,63877,6.0945764574296046e-05
229,229,prigs,20877,1.9918980650587513e-05
230,230,rente,53271,5.082646061395063e-05
231,231,yfere,3228,3.079871128040259e-06
232,232,hiker,112681,0.00010751021021645119
233,233,crame,5624,5.36592169271946e-06
234,234,irked,129825,0.00012386749355570837
235,235,naira,19966,1.9049785298157316e-05
236,236,stire,2483,2.369058243780658e-06
237,237,nagas,49201,4.6943227810008915e-05
238,238,peisy,0,0.0
239,239,miser,412216,0.0003932999246952427
240,240,vivda,0,0.0
241,241,dolie,353,3.3680127267602584e-07
242,242,weave,1303920,0.001244084746367489
243,243,umbel,87210,8.320804246480514e-05
244,244,barmy,14553,1.3885181080040238e-05
245,245,louns,1374,1.3109488630505936e-06
246,246,didos,3213,3.065559459229663e-06
247,247,viold,186,1.7746469325139038e-07
248,248,fowth,251,2.3948192476397307e-07
249,249,guqin,398,3.7973627910781383e-07
250,250,kayos,1101,1.0504764906977463e-06
251,251,finca,65794,6.277479584829022e-05
252,252,taths,0,0.0
253,253,eliad,636,6.068147575692703e-07
254,254,dorts,1029,9.817804804068856e-07
255,255,cooey,4505,4.298271199448999e-06
256,256,dicty,4166,3.974827484329529e-06
257,257,bobak,4813,4.592137465693237e-06
258,258,lowse,2821,2.6915478476460875e-06
259,259,tuile,4099,3.910902030308866e-06
260,260,laked,7594,7.245520863177735e-06
261,261,tarts,193782,0.0001848895870303276
262,262,reefy,4929,4.702814371161846e-06
263,263,agama,23421,2.2346239680864595e-05
264,264,thing,73338322,0.06997291837258976
265,265,shore,11641316,0.011107110607432812
266,266,nicks,108663,0.00010367659119771954
267,267,nunny,1475,1.4073140997086067e-06
268,268,akoya,1387,1.32335230935311e-06
269,269,snaws,1262,1.2040884025981434e-06
270,270,writs,510170,0.00048675893847345076
271,271,doubt,30513541,0.029113312868702817
272,272,alive,12455607,0.01188403481459608
273,273,beaut,61313,5.849942331893817e-05
274,274,ibrik,692,6.602449877954954e-07
275,275,hemps,1847,1.7622434862113875e-06
276,276,towed,430940,0.0004111647038158827
277,277,crout,16261,1.5514803101940104e-05
278,278,mogul,286019,0.00027289394676919046
